what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291883711346
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1291883717147
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.rename",1291883717147
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291883717194
opened,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1291883719497
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1291883719864
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1291883729836
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1291883734545
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1291883773315
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1291883777696
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1291883781138
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1291883786475
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291883789787
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291883834891
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1291883859212
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291883860538
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291883924885
activated,editor,org.eclipse.jpt.ui,2.3.2.v201008252310,"org.eclipse.jpt.ui.internal.editors.PersistenceEditor",1291883927586
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1291883933896
executed,command,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui.toggle.comment",1291883936142
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1291883937631
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291883939815
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291883990060
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291883990495
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291884321495
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291884324563
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291889109601
executed,command,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui.toggle.comment",1291889118451
